loss,params,iteration,estimators,train_time
0.2742315040883111,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9859897676590974, 'learning_rate': 0.014950111707049489, 'min_child_samples': 30, 'num_leaves': 52, 'reg_alpha': 0.45662051812453863, 'reg_lambda': 0.8178953803883011, 'subsample_for_bin': 40000, 'subsample': 0.9346609682453387, 'metric': 'auc'}",33,47,3.9580362041765227
0.24240192947967432,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8249574682823901, 'learning_rate': 0.012325195190650593, 'min_child_samples': 305, 'num_leaves': 38, 'reg_alpha': 0.538344532305463, 'reg_lambda': 0.6463928366482139, 'subsample_for_bin': 80000, 'subsample': 1.0, 'metric': 'auc'}",34,81,2.529693386231031
0.23752448770378054,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7550134644743308, 'learning_rate': 0.03121377207519914, 'min_child_samples': 150, 'num_leaves': 41, 'reg_alpha': 0.3983817873395321, 'reg_lambda': 0.516396331700614, 'subsample_for_bin': 140000, 'subsample': 0.7010026510045536, 'metric': 'auc'}",35,31,2.6891122753703485
0.23860205039594673,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6060707898974524, 'learning_rate': 0.022091382023099525, 'min_child_samples': 200, 'num_leaves': 30, 'reg_alpha': 0.7161544637228703, 'reg_lambda': 0.9963953680762421, 'subsample_for_bin': 120000, 'subsample': 1.0, 'metric': 'auc'}",36,33,1.774363450451574
0.23846511745519405,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6974631087370144, 'learning_rate': 0.043074976194807456, 'min_child_samples': 340, 'num_leaves': 56, 'reg_alpha': 0.5571264258903565, 'reg_lambda': 0.3349694209293018, 'subsample_for_bin': 20000, 'subsample': 0.8159988183361836, 'metric': 'auc'}",37,64,2.473295902365294
0.2392058961456719,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7337522781095079, 'learning_rate': 0.01794935566461859, 'min_child_samples': 385, 'num_leaves': 77, 'reg_alpha': 0.9004635533611721, 'reg_lambda': 0.14998419726098405, 'subsample_for_bin': 60000, 'subsample': 0.9979888921785129, 'metric': 'auc'}",38,6,1.5196743514334514
0.2373463683235475,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6270256644578148, 'learning_rate': 0.022188533142558826, 'min_child_samples': 450, 'num_leaves': 100, 'reg_alpha': 0.46311506163486377, 'reg_lambda': 0.7630857114627184, 'subsample_for_bin': 160000, 'subsample': 1.0, 'metric': 'auc'}",39,46,1.7975875286366545
0.24140047322522595,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9328812112370262, 'learning_rate': 0.047933674075371635, 'min_child_samples': 195, 'num_leaves': 44, 'reg_alpha': 0.127318877832429, 'reg_lambda': 0.8906450423283939, 'subsample_for_bin': 100000, 'subsample': 0.5932809846285347, 'metric': 'auc'}",40,30,2.9162875173894065
0.23315945792774195,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.817272593413842, 'learning_rate': 0.07388580528821476, 'min_child_samples': 255, 'num_leaves': 32, 'reg_alpha': 0.3380911085656546, 'reg_lambda': 0.9363919126425115, 'subsample_for_bin': 260000, 'subsample': 0.9526715782555004, 'metric': 'auc'}",41,40,2.4991303693332156
0.23667953212590498,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6520574456623823, 'learning_rate': 0.012097906381544205, 'min_child_samples': 160, 'num_leaves': 60, 'reg_alpha': 0.41173590563182283, 'reg_lambda': 0.9928404162416621, 'subsample_for_bin': 80000, 'subsample': 0.8157955234734523, 'metric': 'auc'}",42,118,4.418442670448258
